sesh,bold_n,bold_name,percent_udvarsme,percent_use
Q_0001_09242012,bold1,resting,3.29,96.7
Q_0001_10152010,bold1,resting,9.21,90.8
Q_0005_04182011,bold1,resting,0,100
Q_0007_04012011,bold1,resting,2.63,97.4
Q_0009_09292011,bold1,resting,0,100
Q_0016_03292011,bold1,resting,0,100
Q_0016_10082012,bold1,resting,0,100
Q_0019_05052011,bold1,resting,78.9,21.1
Q_0020_03262012,bold1,resting,29.6,70.4
Q_0020_05052011,bold1,resting,50,50
Q_0021_01132011,bold1,resting,21.7,78.3
Q_0021_11052012,bold1,resting,27,73
Q_0024_04152011,bold1,resting,10.5,89.5
Q_0024_09212012,bold1,resting,19.7,80.3
Q_0026_03232012,bold1,resting,0,100
Q_0026_05032013,bold1,resting,15.8,84.2
Q_0033_03192010,bold1,resting,0,100
Q_0036_03302010,bold1,resting,2.63,97.4
Q_0036_06212012,bold1,resting,0,100
Q_0036_06282011,bold1,resting,0,100
Q_0037_04202011,bold1,resting,21.7,78.3
Q_0038_06042010,bold2,resting,27,73
Q_0039_04132010,bold1,resting,0,100
Q_0039_06012011,bold1,resting,5.26,94.7
Q_0040_05142010,bold2,resting,2.63,97.4
Q_0040_06272011,bold1,resting,5.26,94.7
Q_0041_09262012,bold2,resting,51.3,48.7
Q_0045_07132010,bold1,resting,7.24,92.8
Q_0045_08302011,bold1,resting,0,100
Q_0045_10052012,bold1,resting,11.2,88.8
Q_0051_01302012,bold1,resting,0,100
Q_0052_07302010,bold1,resting,2.63,97.4
Q_0053_08022010,bold2,resting,32.9,67.1
Q_0053_12212012,bold1,resting,2.63,97.4
Q_0054_08062010,bold4,resting,2.63,97.4
Q_0056_08252010,bold2,resting,2.63,97.4
Q_0056_09102012,bold1,resting,0,100
Q_0059_08032011,bold1,resting,64.5,35.5
Q_0062_11302011,bold1,resting,12.5,87.5
Q_0076_10212010,bold1,resting,3.29,96.7
Q_0077_02292012,bold1,resting,2.63,97.4
Q_0077_03112013,bold1,resting,11.8,88.2
Q_0077_10252010,bold1,resting,5.26,94.7
Q_0078_11102011,bold1,resting,12.5,87.5
Q_0080_11222010,bold1,resting,18.4,81.6
Q_0081_11242010,bold1,resting,2.63,97.4
Q_0082_01062012,bold1,resting,5.26,94.7
Q_0082_01112013,bold1,resting,0,100
Q_0082_12162010,bold1,resting,0,100
Q_0085_02242012,bold1,resting,6.58,93.4
Q_0091_03052012,bold1,resting,0,100
Q_0091_03072011,bold1,resting,2.63,97.4
Q_0092_03102011,bold1,resting,7.89,92.1
Q_0093_03082011,bold1,resting,0,100
Q_0093_03122012,bold1,resting,4.61,95.4
Q_0093_03122013,bold1,resting,9.21,90.8
Q_0098_04012011,bold1,resting,0,100
Q_0099_04012011,bold1,resting,0,100
Q_0100_04082011,bold1,resting,0,100
Q_0101_01032013,bold1,resting,5.26,94.7
Q_0101_04122011,bold1,resting,46.1,53.9
Q_0102_01032013,bold1,resting,0,100
Q_0102_04122011,bold1,resting,7.24,92.8
Q_0103_04182011,bold1,resting,11.2,88.8
Q_0103_08272012,bold1,resting,5.26,94.7
Q_0105_05022011,bold1,resting,17.8,82.2
Q_0109_05262011,bold1,resting,0,100
Q_0112_11142012,bold4,resting,67.1,32.9
Q_0114_02062014,bold1,resting,96.1,3.95
Q_0114_11092012,bold1,resting,55.9,44.1
Q_0117_07062011,bold1,resting,2.63,97.4
Q_0117_08312012,bold1,resting,2.63,97.4
Q_0118_07072011,bold1,resting,0,100
Q_0124_07292011,bold1,resting,21.7,78.3
Q_0124_09172012,bold1,resting,0,100
Q_0126_08012011,bold1,resting,5.26,94.7
Q_0127_03052013,bold1,resting,20.4,79.6
Q_0127_08012014,bold1,resting,42.8,57.2
Q_0127_08082011,bold1,resting,61.8,38.2
Q_0130_08132012,bold1,resting,9.21,90.8
Q_0130_08162011,bold1,resting,2.63,97.4
Q_0130_11042014,bold1,resting,0,100
Q_0132_08222011,bold1,resting,41.4,58.6
Q_0135_09012011,bold2,resting,0,100
Q_0136_09012011,bold3,resting,77.6,22.4
Q_0137_09022011,bold1,resting,88.8,11.2
Q_0138_09032013,bold1,resting,81.6,18.4
Q_0138_09042012,bold2,resting,87.5,12.5
Q_0138_09062011,bold2,resting,96.1,3.95
Q_0141_10072013,bold2,resting,2.63,97.4
Q_0141_10092012,bold1,resting,0,100
Q_0146_11082012,bold1,resting,0,100
Q_0146_12072011,bold1,resting,3.29,96.7
Q_0147_08112015,bold1,resting,2.63,97.4
Q_0147_08142014,bold1,resting,15.1,84.9
Q_0147_12122011,bold1,resting,7.24,92.8
Q_0149_11192012,bold1,resting,0,100
Q_0149_12192011,bold1,resting,2.63,97.4
Q_0150_11192012,bold1,resting,15.1,84.9
Q_0150_12202011,bold1,resting,0,100
Q_0151_01122012,bold1,resting,21.1,78.9
Q_0153_01202012,bold1,resting,17.8,82.2
Q_0156_01312012,bold1,resting,2.63,97.4
Q_0156_12102013,bold1,resting,15.2,84.8
Q_0157_01312012,bold1,resting,29.6,70.4
Q_0159_02122013,bold1,resting,5.26,94.7
Q_0161_03012012,bold1,resting,0,100
Q_0161_04192013,bold1,resting,0,100
Q_0162_03202012,bold1,resting,2.63,97.4
Q_0163_03262012,bold1,resting,3.29,96.7
Q_0166_01092014,bold1,resting,12.5,87.5
Q_0166_04052012,bold1,resting,8.55,91.4
Q_0168_04052012,bold1,resting,29.6,70.4
Q_0169_04062012,bold1,resting,7.89,92.1
Q_0170_04102012,bold1,resting,50,50
Q_0170_11252014,bold1,resting,27.6,72.4
Q_0171_04102012,bold1,resting,25.7,74.3
Q_0171_11252014,bold1,resting,46.1,53.9
Q_0172_04122012,bold1,resting,14.5,85.5
Q_0172_04262013,bold1,resting,0,100
Q_0173_04122012,bold1,resting,0,100
Q_0173_04172014,bold1,resting,2.63,97.4
Q_0173_04262013,bold2,resting,0,100
Q_0174_04182012,bold1,resting,2.63,97.4
Q_0174_04272015,bold1,resting,3.95,96.1
Q_0176_04242012,bold1,resting,10.5,89.5
Q_0176_05072013,bold1,resting,21.1,78.9
Q_0177_05012012,bold1,resting,0,100
Q_0178_05012012,bold1,resting,15.8,84.2
Q_0182_05182012,bold1,resting,36.8,63.2
Q_0184_05242012,bold1,resting,5.26,94.7
Q_0185_05242012,bold1,resting,9.87,90.1
Q_0186_04092015,bold1,resting,68.4,31.6
Q_0188_05242012,bold1,resting,37.5,62.5
Q_0189_05242012,bold1,resting,0,100
Q_0190_06012012,bold2,resting,74.3,25.7
Q_0190_08132013,bold2,resting,28.9,71.1
Q_0192_06112013,bold1,resting,77.7,22.3
Q_0196_06192015,bold1,resting,7.89,92.1
Q_0196_06202012,bold1,resting,13.2,86.8
Q_0196_09122013,bold1,resting,40.8,59.2
Q_0200_04032015,bold1,resting,56.6,43.4
Q_0200_07092012,bold1,resting,75.7,24.3
Q_0200_08052013,bold1,resting,87.5,12.5
Q_0213_08032012,bold1,resting,3.29,96.7
Q_0215_08062012,bold1,resting,13.8,86.2
Q_0215_08172015,bold1,resting,0,100
Q_0216_08062012,bold1,resting,57.9,42.1
Q_0216_08172015,bold1,resting,30.3,69.7
Q_0217_01142014,bold1,resting,31.6,68.4
Q_0217_02042015,bold1,resting,7.89,92.1
Q_0217_08092012,bold1,resting,25,75
Q_0219_08122014,bold1,resting,0,100
Q_0219_08162012,bold1,resting,0,100
Q_0219_09012015,bold1,resting,3.29,96.7
Q_0222_08212012,bold1,resting,3.29,96.7
Q_0223_08212012,bold1,resting,2.63,97.4
Q_0227_10032012,bold1,resting,46.1,53.9
Q_0228_01292014,bold1,resting,2.63,97.4
Q_0228_09272012,bold1,resting,0,100
Q_0229_10022012,bold1,resting,29.6,70.4
Q_0232_12122012,bold1,resting,2.63,97.4
Q_0234_03252014,bold1,resting,19.7,80.3
Q_0234_12132012,bold1,resting,0,100
Q_0236_03072013,bold1,resting,45.4,54.6
Q_0238_03202013,bold1,resting,0,100
Q_0238_08042014,bold1,resting,3.29,96.7
Q_0238_11132015,bold1,resting,0,100
Q_0240_03232015,bold1,resting,40.1,59.9
Q_0240_03272013,bold1,resting,12.5,87.5
Q_0240_06262014,bold1,resting,51.3,48.7
Q_0242_03272013,bold1,resting,0,100
Q_0242_05162016,bold1,resting,0,100
Q_0244_09162013,bold1,resting,0,100
Q_0244_09232014,bold1,resting,0,100
Q_0246_09242013,bold1,resting,7.89,92.1
Q_0252_12102013,bold1,resting,0,100
Q_0255_10212014,bold1,resting,54.6,45.4
Q_0260_06092014,bold1,resting,5.92,94.1
Q_0260_10262015,bold1,resting,6.58,93.4
Q_0266_08122014,bold1,resting,0,100
Q_0268_10132014,bold1,resting,5.26,94.7
Q_0269_10142014,bold3,resting,0,100
Q_0277_12082014,bold1,resting,62.5,37.5
Q_0284_03182015,bold1,resting,0,100
Q_0285_03182015,bold1,resting,22.4,77.6
Q_0286_03182015,bold1,resting,4.61,95.4
Q_0287_03182015,bold2,resting,57.9,42.1
Q_0291_04172015,bold1,resting,75,25
Q_0307_10132015,bold1,resting,0,100
Q_0310_11182015,bold1,resting,0,100
Q_0311_12082015,bold1,resting,19.7,80.3
Q_0315_01262016,bold2,resting,17.1,82.9
Q_0321_03232016,bold1,resting,0,100
Q_0322_03312016,bold1,resting,0,100
Q_0326_04142016,bold1,resting,0,100
Q_0327_04142016,bold1,resting,0,100
Q_0328_04262016,bold1,resting,65.1,34.9
